ID,fL,fG-T,fG-R,fG-K,fG-C,fG-A,
3a23e6d4-f5df-47bb-ab0d-fe9c07d56565_lvl104,0.6801314036147232,-9.270459970205566,-0.6390211863275828,0.5986742805921538,0.38642014049696793,0.38642014049696793,
3a23e6d4-f5df-47bb-ab0d-fe9c07d56565_lvl45,0.8269380244777719,-6.496763989864042,0.4479199947082472,0.3184390436120721,0.5174724743737589,0.5174724743737589,
3a23e6d4-f5df-47bb-ab0d-fe9c07d56565_lvl54,0.8086182845571392,-10.162747687040117,0.16666791143772675,0.27064960693501844,-0.6458122075687679,-0.6458122075687679,
3b6c9df2-5083-4d49-9861-cbe74afe4619_lvl11,0.839999021221774,-10.301476227238147,0.72356923686872,0.7788505637115346,0.4097900289408891,0.7788505637115346,
3b6c9df2-5083-4d49-9861-cbe74afe4619_lvl186,0.5748523587006849,-22.910990353754062,0.16732483229863482,0.5264187535950785,0.6792157455753316,0.5264187535950785,
3b6c9df2-5083-4d49-9861-cbe74afe4619_lvl33,0.8328631122268608,-14.4771626218934,0.6294438948142397,0.638185606550899,0.4644672187758394,0.638185606550899,
3b6c9df2-5083-4d49-9861-cbe74afe4619_lvl42,0.8331859623146799,-31.468567081970598,0.4948022995003273,0.4174909489020482,0.5038805589334339,0.4174909489020482,
3b8d2496-d662-46f2-9849-c09fd9fa1646_lvl151,0.6616774677564776,-7.926247463370085,0.8325896169029444,0.5491411386711272,0.5857322260063268,0.8325896169029444,
3b8d2496-d662-46f2-9849-c09fd9fa1646_lvl183,0.6030437642164428,-11.318500173721617,0.5949327791623268,0.15551865266630996,0.5183493117792349,0.5949327791623268,
3b8d2496-d662-46f2-9849-c09fd9fa1646_lvl25,0.8289053961559257,-18.545190759661228,0.42245036077170545,0.6731705365028287,-0.6838278975369708,0.42245036077170545,
3b8d2496-d662-46f2-9849-c09fd9fa1646_lvl50,0.7837599680811324,-4.874921147196785,0.7056413405172797,0.7815899653323821,0.554696245666334,0.7056413405172797,
3e9a9746-8dd9-4860-9079-dee242ceb868_lvl111,0.7004208419216997,-11.112759054043234,0.13865077613450089,-0.12465769919403134,0.544691596965638,0.544691596965638,
3e9a9746-8dd9-4860-9079-dee242ceb868_lvl140,0.7390027679760909,-19.19782324164336,0.8585630975462131,0.7443091294312223,0.8551899189417924,0.8551899189417924,
3e9a9746-8dd9-4860-9079-dee242ceb868_lvl167,0.6472069282657235,-12.657811179683303,0.7640425742940326,0.5498722818729544,0.06978737469311348,0.06978737469311348,
3e9a9746-8dd9-4860-9079-dee242ceb868_lvl27,0.8529706585589433,-3.836506647992586,0.4278218957021842,0.8307623026484937,0.8046044268482873,0.8046044268482873,
4013d0a0-8554-4fdb-9e59-aa8409877849_lvl136,0.7437823354522667,-6.647831219943533,0.11937532054481009,0.019376254664489456,0.7194676521000666,0.11937532054481009,
4013d0a0-8554-4fdb-9e59-aa8409877849_lvl171,0.7481993759605641,-6.297445161167329,-0.2799875007343155,-0.10657233802835903,-0.11306816129487593,-0.2799875007343155,
4013d0a0-8554-4fdb-9e59-aa8409877849_lvl69,0.8132957536573073,-10.318353742310368,0.7270483141944202,0.7888386678491206,0.5688353072814091,0.7270483141944202,
4013d0a0-8554-4fdb-9e59-aa8409877849_lvl91,0.7208225222232281,-20.053642514036422,0.8804730756292243,0.8979211767965879,0.03669795078603118,0.8804730756292243,
41fdb80c-6516-4d73-8b79-6f863a3287d0_lvl161,0.6580321159186204,-19.73543012935791,0.6679192632816794,0.4539579384875323,0.5040139706937312,0.6679192632816794,
41fdb80c-6516-4d73-8b79-6f863a3287d0_lvl182,0.614208654421459,-8.071657466692404,0.6864541161504208,0.3428332255573039,0.14682251619478953,0.6864541161504208,
41fdb80c-6516-4d73-8b79-6f863a3287d0_lvl52,0.7037822424966909,-13.10898289532457,0.39064481852402727,0.46516794832239305,-0.30844274987549614,0.39064481852402727,
41fdb80c-6516-4d73-8b79-6f863a3287d0_lvl78,0.7606579103701137,-13.7339630691769,0.6509437801599006,0.600630115650294,0.34632709018652663,0.6509437801599006,
4324f040-147a-443b-b639-125efb4faf24_lvl134,0.7467606060662391,-18.058269213315302,0.7413401949269764,0.8520412057990633,0.83577504196027,0.7413401949269764,
4324f040-147a-443b-b639-125efb4faf24_lvl55,0.8389085679248242,-15.072389169496471,0.7235013978476135,0.729156194585469,0.6422743589077605,0.7235013978476135,
43cb580e-dcc1-438e-b4dc-19303e208aaf_lvl116,0.5808196732839658,-73.96292571707019,0.5639510685702221,0.40652276520253905,0.18221312297442185,0.18221312297442185,
43cb580e-dcc1-438e-b4dc-19303e208aaf_lvl152,0.1336010820412401,-14.643431388591376,0.7447414176661816,1.0,0.9511763943216955,0.9511763943216955,
43cb580e-dcc1-438e-b4dc-19303e208aaf_lvl69,0.7946711455198211,-22.57507692014976,0.7002475721026344,0.8428454195454739,0.7426595430102315,0.7426595430102315,
43cb580e-dcc1-438e-b4dc-19303e208aaf_lvl84,0.7495073952818977,-25.575112519606872,0.425432830654757,0.7855126416450777,0.621040979386616,0.621040979386616,
4a41095c-af10-4826-a020-f46e74ae8355_lvl125,0.7158016437626237,-6.511600830034968,0.7850047741651708,0.7251588612148618,0.6606533375448863,0.7251588612148618,
4a41095c-af10-4826-a020-f46e74ae8355_lvl177,0.6304419602536983,-6.803381262305901,0.8644822747806089,0.8002864738743093,0.8497019303343215,0.8002864738743093,
4a41095c-af10-4826-a020-f46e74ae8355_lvl19,0.8771399530980478,-12.59054948454338,0.7922243235850343,0.2458847214083254,0.20264113075027454,0.2458847214083254,
4a41095c-af10-4826-a020-f46e74ae8355_lvl198,0.6099175265307697,-13.177609602726532,0.46869935639278926,0.073766432034054,0.31132265817220406,0.073766432034054,
4b63ef53-bbd5-4746-bb02-e8a6183d5acf_lvl74,0.7289270701517229,-20.34383362641854,-0.7259171870014994,-0.03850151905239141,-0.44868363955934143,-0.44868363955934143,
4b7b206e-74bc-4d4b-81ec-a2bebb32aaeb_lvl103,0.7391809472209272,-16.28153623842765,0.700034220666445,0.21803860381787557,0.5746428877691906,0.700034220666445,
