ID,fL,fG,
1dde97e4-3c95-4369-8793-baee2d3216f3_lvl132,0.7092523864404693,-8.601320221533717,
1dde97e4-3c95-4369-8793-baee2d3216f3_lvl88,0.8086724258504083,-10.908268449245872,
1dde97e4-3c95-4369-8793-baee2d3216f3_lvl98,0.8210487584575592,-9.126019219908375,
1f832b78-6dd1-4b19-b30b-51960d91b031_lvl125,0.7158016437626237,-15.93158432390328,
1f832b78-6dd1-4b19-b30b-51960d91b031_lvl130,0.6738640545523039,-11.028845129546282,
1f832b78-6dd1-4b19-b30b-51960d91b031_lvl71,0.7981865902682835,-15.809969832143105,
1f832b78-6dd1-4b19-b30b-51960d91b031_lvl95,0.7862772917502273,-12.603355872510507,
2482c1ca-0da2-4288-a8a6-c5e41050e310_lvl109,0.7391867913489214,-4.928032676849063,
2482c1ca-0da2-4288-a8a6-c5e41050e310_lvl192,0.6276727702372022,-9.300816365159978,
2482c1ca-0da2-4288-a8a6-c5e41050e310_lvl29,0.8681235841489346,-8.38636966032769,
2482c1ca-0da2-4288-a8a6-c5e41050e310_lvl3,0.8766634728822867,-5.052901251957034,
2831d68c-40b8-4ba0-8974-1afacaed6762_lvl186,0.5567724036141938,-27.725504099614287,
2831d68c-40b8-4ba0-8974-1afacaed6762_lvl31,0.8238163126449447,-18.226197905142723,
2831d68c-40b8-4ba0-8974-1afacaed6762_lvl80,0.7949557751676287,-26.045268375028968,
28421ba1-9bc5-43b1-a287-2a5bd3554433_lvl167,0.5627252629214271,-35.29319843279831,
28421ba1-9bc5-43b1-a287-2a5bd3554433_lvl18,0.8482630953369302,-17.42913089490695,
28421ba1-9bc5-43b1-a287-2a5bd3554433_lvl33,0.8328631122268608,-10.209853842064355,
28421ba1-9bc5-43b1-a287-2a5bd3554433_lvl37,0.8393921897916077,-19.847245487192374,
2900ca9a-fb65-48a1-99e8-fa26abc80c0b_lvl197,0.6010655575112237,-56.121498922767444,
2a8b8b1b-a314-4c4d-9721-8b94797932fb_lvl104,0.6801314036147232,-31.51122327133791,
2a8b8b1b-a314-4c4d-9721-8b94797932fb_lvl120,0.6999743557217768,-15.473378033513836,
2a8b8b1b-a314-4c4d-9721-8b94797932fb_lvl195,0.6071824589280534,-33.71871976230717,
2a8b8b1b-a314-4c4d-9721-8b94797932fb_lvl65,0.7832645770695322,-7.768462897564327,
2f12fa57-37c6-4486-be84-ac4e5dc569c2_lvl10,0.8872979277266032,-1.9971856093131102,
2f12fa57-37c6-4486-be84-ac4e5dc569c2_lvl104,0.6887848132323903,-9.95407583437066,
2f12fa57-37c6-4486-be84-ac4e5dc569c2_lvl7,0.9210643403637216,-8.256772611070703,
2f12fa57-37c6-4486-be84-ac4e5dc569c2_lvl75,0.7984059109703612,-10.391008896580782,
2f8867e8-63a9-49b2-b90f-3796db45201d_lvl32,0.8319958325767746,-18.340235852494374,
2f8867e8-63a9-49b2-b90f-3796db45201d_lvl87,0.8077175954256695,-18.963097421084072,
30a3a049-3bd8-4990-a9fc-8e86de0afd8e_lvl118,0.4397697309327363,-6.3458739228246905,
30a3a049-3bd8-4990-a9fc-8e86de0afd8e_lvl21,0.8849410832671889,-4.65755303772332,
30a3a049-3bd8-4990-a9fc-8e86de0afd8e_lvl34,0.8554821577847052,-8.73734980043193,
33253213-2bfe-40e3-8131-2e175da84c1c_lvl12,0.8538239639713613,-5.91223275528815,
33253213-2bfe-40e3-8131-2e175da84c1c_lvl172,0.7204401402129933,-33.96059007907448,
39ff859b-7673-4af8-b0fc-7d04b78d0636_lvl130,0.6515375319652292,-15.231528533408465,
39ff859b-7673-4af8-b0fc-7d04b78d0636_lvl164,0.6369592378704048,-19.936799277159718,
3a23e6d4-f5df-47bb-ab0d-fe9c07d56565_lvl104,0.6801314036147232,-9.270459970205566,
3a23e6d4-f5df-47bb-ab0d-fe9c07d56565_lvl45,0.8269380244777719,-6.496763989864042,
3a23e6d4-f5df-47bb-ab0d-fe9c07d56565_lvl54,0.8086182845571392,-10.162747687040117,
3b52e316-5a0e-4068-9df4-576f65c6ee7b_lvl68,0.7642706919359711,-13.627196338475631,
3b6c9df2-5083-4d49-9861-cbe74afe4619_lvl11,0.839999021221774,-10.301476227238147,
3b6c9df2-5083-4d49-9861-cbe74afe4619_lvl186,0.5748523587006849,-22.910990353754062,
3b6c9df2-5083-4d49-9861-cbe74afe4619_lvl33,0.8328631122268608,-14.477162621893399,
3b6c9df2-5083-4d49-9861-cbe74afe4619_lvl42,0.8331859623146799,-31.468567081970594,
3b8d2496-d662-46f2-9849-c09fd9fa1646_lvl151,0.6616774677564776,-7.9262474633700855,
3b8d2496-d662-46f2-9849-c09fd9fa1646_lvl183,0.6030437642164428,-11.318500173721617,
3b8d2496-d662-46f2-9849-c09fd9fa1646_lvl25,0.8289053961559257,-18.545190759661228,
3b8d2496-d662-46f2-9849-c09fd9fa1646_lvl50,0.7837599680811324,-4.874921147196785,
3e9a9746-8dd9-4860-9079-dee242ceb868_lvl111,0.7004208419216997,-11.112759054043234,
3e9a9746-8dd9-4860-9079-dee242ceb868_lvl140,0.7390027679760909,-19.197823241643356,
3e9a9746-8dd9-4860-9079-dee242ceb868_lvl167,0.6472069282657235,-12.657811179683305,
3e9a9746-8dd9-4860-9079-dee242ceb868_lvl27,0.8529706585589433,-3.8365066479925862,
4013d0a0-8554-4fdb-9e59-aa8409877849_lvl136,0.7437823354522667,-6.647831219943533,
4013d0a0-8554-4fdb-9e59-aa8409877849_lvl171,0.7481993759605641,-6.297445161167329,
4013d0a0-8554-4fdb-9e59-aa8409877849_lvl69,0.8132957536573073,-10.318353742310368,
4013d0a0-8554-4fdb-9e59-aa8409877849_lvl91,0.7208225222232281,-20.053642514036426,
41fdb80c-6516-4d73-8b79-6f863a3287d0_lvl161,0.6580321159186204,-19.73543012935791,
41fdb80c-6516-4d73-8b79-6f863a3287d0_lvl182,0.614208654421459,-8.071657466692404,
41fdb80c-6516-4d73-8b79-6f863a3287d0_lvl52,0.7037822424966909,-13.10898289532457,
41fdb80c-6516-4d73-8b79-6f863a3287d0_lvl78,0.7606579103701137,-13.7339630691769,
4324f040-147a-443b-b639-125efb4faf24_lvl134,0.7467606060662391,-18.058269213315302,
4324f040-147a-443b-b639-125efb4faf24_lvl55,0.8389085679248242,-15.072389169496471,
43591ce5-db23-4aab-8911-f4a445815c83_lvl198,0.6099175265307697,-4.740047982600186,
43591ce5-db23-4aab-8911-f4a445815c83_lvl7,0.9210643403637216,-3.183282043635688,
43cb580e-dcc1-438e-b4dc-19303e208aaf_lvl116,0.5808196732839658,-73.96292571707019,
43cb580e-dcc1-438e-b4dc-19303e208aaf_lvl152,0.13360108204124013,-14.643431388591377,
43cb580e-dcc1-438e-b4dc-19303e208aaf_lvl69,0.7946711455198211,-22.575076920149762,
43cb580e-dcc1-438e-b4dc-19303e208aaf_lvl84,0.7495073952818977,-25.575112519606872,
44879868-740b-45b1-9c0c-a7389bf02cba_lvl195,0.5636186635551294,-11.095465864421222,
4824aeeb-a1dd-479c-bf9d-8eeaa849d866_lvl9,0.7711660141264612,-50.81438595084687,
4824aeeb-a1dd-479c-bf9d-8eeaa849d866_lvl94,0.7567534438460553,-9.636766561213774,
4a41095c-af10-4826-a020-f46e74ae8355_lvl125,0.7158016437626237,-6.511600830034968,
4a41095c-af10-4826-a020-f46e74ae8355_lvl177,0.6304419602536983,-6.803381262305901,
4a41095c-af10-4826-a020-f46e74ae8355_lvl19,0.8771399530980478,-12.59054948454338,
4a41095c-af10-4826-a020-f46e74ae8355_lvl198,0.6099175265307697,-13.177609602726532,
4b63ef53-bbd5-4746-bb02-e8a6183d5acf_lvl74,0.7289270701517229,-20.34383362641854,
4b7b206e-74bc-4d4b-81ec-a2bebb32aaeb_lvl103,0.7391809472209272,-16.28153623842765,
4b7b206e-74bc-4d4b-81ec-a2bebb32aaeb_lvl108,0.6849267239734601,-41.24317053273261,
4b7b206e-74bc-4d4b-81ec-a2bebb32aaeb_lvl112,0.7454614307397266,-14.197877066786333,
4b7b206e-74bc-4d4b-81ec-a2bebb32aaeb_lvl143,0.6872987723121188,-22.002300027791378,
4b7b206e-74bc-4d4b-81ec-a2bebb32aaeb_lvl190,0.6654565054673701,-7.158579333050846,
521d38d2-89b4-4fee-b5dd-d18f42a216e6_lvl105,0.6593054127795086,-23.870583799761718,
