ID,R1,R2,R3,C,K,R,time,PAD
41fdb80c-6516-4d73-8b79-6f863a3287d0,c,k,r,Collector-35,Killer-40,Runner-23,2023-05-06 21:30:03.742953,
10076030-cd09-4885-95f3-6ac9425016ec,k,r,c,Collector-93,Killer-66,Runner-49,2023-05-07 22:15:03.933489,
d19a149b-1d08-4720-bc60-716abcb6be88,r,k,c,Collector-82,Killer-3,Runner-53,2023-05-08 05:37:57.267438,
daeba09e-2e25-49f2-bc1f-182fd053f3a4,r,k,c,Collector-42,Killer-65,Runner-20,2023-05-16 18:52:42.257963,
df68c988-120e-42a0-a498-7d7a567e9bc3,c,k,r,Collector-44,Killer-19,Runner-31,2023-05-16 18:56:43.283921,
b0e1b70f-4fab-4540-bb3c-3bdbdfaf3cfe,r,k,c,Collector-3,Killer-0,Runner-93,2023-05-16 19:06:37.309044,
765cec57-b27c-4efa-a54c-3b025ba97aef,k,r,c,Collector-13,Killer-92,Runner-61,2023-05-16 22:01:02.477690,
735b485e-f9ca-4749-aa61-aa2a98a00d18,r,k,c,Collector-81,Killer-65,Runner-79,2023-05-16 22:24:27.732620,
2a8b8b1b-a314-4c4d-9721-8b94797932fb,c,r,k,Collector-58,Killer-69,Runner-11,2023-05-16 22:26:39.209959,
3b6c9df2-5083-4d49-9861-cbe74afe4619,c,k,r,Collector-46,Killer-68,Runner-77,2023-05-19 16:21:08.007050,
a89045cd-3900-400f-85c2-74b49190c972,c,k,r,Collector-36,Killer-25,Runner-15,2023-05-19 16:37:25.825497,
769a7824-b9fe-4936-b87b-cab185803a17,k,c,r,Collector-8,Killer-97,Runner-75,2023-05-19 17:18:07.220123,
c4699748-0982-4c0d-97ec-287b108f8897,r,k,c,Collector-43,Killer-98,Runner-36,2023-05-19 20:42:15.379557,
fd747ef3-188e-4a86-b65d-7d3da34e1566,r,k,c,Collector-9,Killer-12,Runner-91,2023-06-01 07:21:42.656091,
e2215704-e65c-4f6f-893c-abdf71a1fd5f,k,r,c,Collector-51,Killer-94,Runner-89,2023-06-13 23:39:00.706594,
c25c6ad3-626d-4563-9a22-81b0f8b9e8d5,r,k,c,Collector-55,Killer-4,Runner-52,2023-06-29 04:58:38.870769,
f5316da9-ca44-46c2-937a-c669e5689fad,k,c,r,Collector-58,Killer-6,Runner-60,2023-07-10 15:03:41.795914,
4a41095c-af10-4826-a020-f46e74ae8355,k,r,c,Collector-53,Killer-78,Runner-90,2023-07-10 15:54:33.823463,
0efc394c-f40d-4a2c-b436-95edd8772331,r,c,k,Collector-35,Killer-47,Runner-48,2023-07-12 15:29:20.938776,
0efc394c-f40d-4a2c-b436-95edd8772331,c,r,k,Collector-49,Killer-53,Runner-21,2023-07-12 15:32:40.099112,
28421ba1-9bc5-43b1-a287-2a5bd3554433,r,c,k,Collector-2,Killer-49,Runner-23,2023-07-12 15:34:53.333475,
f51c61ef-825a-45c2-ac37-22a2c895cd41,c,k,r,Collector-19,Killer-79,Runner-2,2023-07-12 15:40:22.719093,
f51c61ef-825a-45c2-ac37-22a2c895cd41,k,r,c,Collector-56,Killer-93,Runner-20,2023-07-12 15:45:59.441046,
1f832b78-6dd1-4b19-b30b-51960d91b031,k,c,r,Collector-70,Killer-80,Runner-46,2023-07-12 16:22:38.870878,
e357e3de-be46-4360-b98a-d4c599431be7,r,c,k,Collector-37,Killer-9,Runner-33,2023-07-12 16:49:22.630910,
e357e3de-be46-4360-b98a-d4c599431be7,c,r,k,Collector-26,Killer-46,Runner-87,2023-07-12 21:46:39.643621,
9fa2d416-3c98-481e-9f25-608316e9aa27,k,r,c,Collector-85,Killer-50,Runner-83,2023-07-12 22:30:18.542778,
76027eb9-e5df-464c-84e0-88c816678977,r,c,k,Collector-40,Killer-31,Runner-80,2023-07-12 23:30:21.715456,
56b8e4ac-4757-4679-ac36-030931987b90,r,c,k,Collector-4,Killer-93,Runner-79,2023-07-12 23:30:40.898931,
9ecbe03d-97b6-48aa-b3ba-a21d09d0fd56,c,k,r,Collector-4,Killer-20,Runner-14,2023-07-13 00:11:07.331693,
60eb6bbd-e693-4b39-a26b-deefbdb778b7,c,r,k,Collector-83,Killer-35,Runner-90,2023-07-13 00:11:26.443787,
f46dc364-473c-4af6-8661-01e445e6f3db,r,k,c,Collector-15,Killer-62,Runner-26,2023-07-13 00:11:28.796690,
9ecbe03d-97b6-48aa-b3ba-a21d09d0fd56,c,k,r,Collector-88,Killer-16,Runner-80,2023-07-13 00:15:08.761977,
cb577ff9-dd86-4191-9dff-51b04f83410a,c,k,r,Collector-64,Killer-83,Runner-52,2023-07-13 00:31:00.664375,
b11e2911-4d8f-48f0-bc28-8db6c9d0ffd5,r,c,k,Collector-9,Killer-17,Runner-11,2023-07-13 01:11:45.923351,
1dde97e4-3c95-4369-8793-baee2d3216f3,c,k,r,Collector-67,Killer-38,Runner-27,2023-07-13 01:14:37.898336,
b11e2911-4d8f-48f0-bc28-8db6c9d0ffd5,c,r,k,Collector-59,Killer-48,Runner-60,2023-07-13 01:20:23.149768,
b11e2911-4d8f-48f0-bc28-8db6c9d0ffd5,k,c,r,Collector-98,Killer-60,Runner-80,2023-07-13 01:24:39.939267,
b11e2911-4d8f-48f0-bc28-8db6c9d0ffd5,r,c,k,Collector-74,Killer-65,Runner-68,2023-07-13 01:28:57.920048,
b11e2911-4d8f-48f0-bc28-8db6c9d0ffd5,c,r,k,Collector-81,Killer-77,Runner-83,2023-07-13 01:36:30.464445,
0f50778b-e4b6-4e32-b4f7-1e8d42bc103d,r,k,c,Collector-93,Killer-64,Runner-83,2023-07-13 07:53:31.930144,
8e16acd5-31df-429f-a0b4-4e6f82157507,k,c,r,Collector-30,Killer-72,Runner-94,2023-07-13 09:08:28.214957,
3a23e6d4-f5df-47bb-ab0d-fe9c07d56565,r,c,k,Collector-27,Killer-27,Runner-7,2023-07-13 10:27:49.363095,
cfa734c5-6381-48bc-9a44-436292751245,k,c,r,Collector-74,Killer-35,Runner-68,2023-07-13 10:43:56.162526,
cfa734c5-6381-48bc-9a44-436292751245,k,r,c,Collector-21,Killer-30,Runner-92,2023-07-13 10:47:14.890903,
cfa734c5-6381-48bc-9a44-436292751245,k,r,c,Collector-21,Killer-30,Runner-92,2023-07-13 10:49:15.478702,
3e9a9746-8dd9-4860-9079-dee242ceb868,r,c,k,Collector-70,Killer-7,Runner-40,2023-07-13 10:57:50.549506,
7fc6f124-dc9e-4a87-ab19-e851f9d9de67,k,r,c,Collector-54,Killer-2,Runner-47,2023-07-13 11:13:40.288517,
5dd03508-7b35-4f59-b365-2089bd8a3ae7,k,c,r,Collector-48,Killer-83,Runner-73,2023-07-13 11:18:53.672989,
521d38d2-89b4-4fee-b5dd-d18f42a216e6,c,k,r,Collector-57,Killer-37,Runner-89,2023-07-13 11:22:43.343558,
105c0e47-62cc-417d-9ffc-4dd7da969125,c,k,r,Collector-13,Killer-74,Runner-96,2023-07-13 11:23:10.938663,
b3e007dd-ff6c-40af-9683-a347df06b134,k,c,r,Collector-20,Killer-49,Runner-14,2023-07-13 11:33:55.089320,
521d38d2-89b4-4fee-b5dd-d18f42a216e6,c,k,r,Collector-87,Killer-9,Runner-62,2023-07-13 11:36:56.469409,
08836143-6ee3-439a-96fc-01d1ef8931b6,r,k,c,Collector-97,Killer-81,Runner-96,2023-07-13 12:14:37.034400,
1ad4daba-e8aa-483d-b19c-35350298d740,c,k,r,Collector-98,Killer-54,Runner-10,2023-07-13 13:20:42.267467,
a107d2f0-b4b0-4782-8416-1d1219f13fc5,k,c,r,Collector-58,Killer-68,Runner-97,2023-07-13 13:24:36.946870,
9720c245-2bd9-44e0-825b-d54324f5b90a,r,c,k,Collector-17,Killer-59,Runner-67,2023-07-13 13:52:21.077144,
e8fa1eee-54e3-49af-bd53-33de244a87be,r,c,k,Collector-35,Killer-59,Runner-75,2023-07-13 14:45:25.005349,
e8fa1eee-54e3-49af-bd53-33de244a87be,r,k,c,Collector-21,Killer-84,Runner-68,2023-07-13 14:52:29.763775,
e8fa1eee-54e3-49af-bd53-33de244a87be,r,k,c,Collector-56,Killer-74,Runner-31,2023-07-13 15:02:47.005416,
e8fa1eee-54e3-49af-bd53-33de244a87be,k,c,r,Collector-57,Killer-69,Runner-86,2023-07-13 15:07:17.465820,
e8fa1eee-54e3-49af-bd53-33de244a87be,c,r,k,Collector-91,Killer-32,Runner-29,2023-07-13 15:12:05.181500,
e8fa1eee-54e3-49af-bd53-33de244a87be,c,r,k,Collector-54,Killer-15,Runner-36,2023-07-13 15:16:23.644762,
e8fa1eee-54e3-49af-bd53-33de244a87be,r,k,c,Collector-16,Killer-63,Runner-57,2023-07-13 15:21:52.487392,
6d710075-57ba-4545-bc65-e2a274f9f92b,k,c,r,Collector-7,Killer-95,Runner-57,2023-07-13 16:09:22.901826,
a26fa938-16d9-4751-9d7b-542fb44a0ee8,r,k,c,Collector-98,Killer-77,Runner-62,2023-07-13 16:48:07.819347,
fe64a281-9563-4165-bf98-fbd8841472ba,k,r,c,Collector-87,Killer-82,Runner-71,2023-07-13 16:49:43.390215,
0c742b9d-e162-44c4-b3c9-13447fd0d608,k,r,c,Collector-52,Killer-86,Runner-22,2023-07-13 19:37:26.160332,
8b1fe243-3a4d-4c3d-ac18-b251cc558b05,r,k,c,Collector-56,Killer-82,Runner-29,2023-07-13 21:02:42.073535,
fa5a99b6-80d0-49ce-b93f-b2889b2935c2,k,c,r,Collector-67,Killer-71,Runner-85,2023-07-13 21:59:21.078545,
b27967e0-d66f-4297-8e27-c280edf5cbcb,r,c,k,Collector-94,Killer-68,Runner-87,2023-07-13 22:02:06.371345,
4b63ef53-bbd5-4746-bb02-e8a6183d5acf,c,k,r,Collector-43,Killer-24,Runner-35,2023-07-13 23:11:53.689595,
e552776d-f5fc-45a8-83ac-cf12fbe2a5c1,r,c,k,Collector-76,Killer-23,Runner-54,2023-07-14 11:28:46.609486,
3b8d2496-d662-46f2-9849-c09fd9fa1646,k,c,r,Collector-48,Killer-9,Runner-61,2023-07-14 15:05:14.647568,
85be412a-dc18-4714-a556-d199f984209c,c,k,r,Collector-88,Killer-8,Runner-74,2023-07-14 20:16:25.235009,
85be412a-dc18-4714-a556-d199f984209c,c,k,r,Collector-26,Killer-43,Runner-92,2023-07-14 20:19:55.258772,
edceed34-0e98-45b2-9ec8-e0139398b646,c,k,r,Collector-5,Killer-67,Runner-10,2023-07-14 23:41:31.650843,
56f050c3-595e-40c7-a656-21076e66917f,k,c,r,Collector-36,Killer-89,Runner-14,2023-07-15 01:37:39.480926,
