ID,A,B,ANNT,time,PAD
73793320-1d3e-42d8-afa1-e7260980cd3c,93,189,B,2023-05-07 14:32:51.559339,
73793320-1d3e-42d8-afa1-e7260980cd3c,59,46,A,2023-05-07 14:35:29.813944,
682c494e-d831-4220-a5a4-fc4ba17165db,97,116,B,2023-05-07 15:49:54.955722,
682c494e-d831-4220-a5a4-fc4ba17165db,192,58,E,2023-05-07 16:20:24.087853,
10076030-cd09-4885-95f3-6ac9425016ec,200,93,B,2023-05-07 22:07:49.616135,
10076030-cd09-4885-95f3-6ac9425016ec,11,123,A,2023-05-07 22:10:41.348421,
d19a149b-1d08-4720-bc60-716abcb6be88,60,73,E,2023-05-08 05:33:07.505023,
d19a149b-1d08-4720-bc60-716abcb6be88,199,90,E,2023-05-08 05:35:00.362921,
daeba09e-2e25-49f2-bc1f-182fd053f3a4,177,61,B,2023-05-16 18:48:20.493701,
df68c988-120e-42a0-a498-7d7a567e9bc3,24,53,B,2023-05-16 18:50:00.286861,
daeba09e-2e25-49f2-bc1f-182fd053f3a4,187,60,B,2023-05-16 18:50:22.218262,
df68c988-120e-42a0-a498-7d7a567e9bc3,175,107,A,2023-05-16 18:52:41.052121,
b0e1b70f-4fab-4540-bb3c-3bdbdfaf3cfe,6,162,A,2023-05-16 19:01:09.211974,
b0e1b70f-4fab-4540-bb3c-3bdbdfaf3cfe,137,112,A,2023-05-16 19:04:02.095435,
c09113a4-46c7-4ffc-8af8-c09e9fcb3ff8,145,58,E,2023-05-16 20:58:08.357712,
765cec57-b27c-4efa-a54c-3b025ba97aef,104,173,A,2023-05-16 21:55:56.942273,
765cec57-b27c-4efa-a54c-3b025ba97aef,13,158,A,2023-05-16 21:57:46.837147,
8ca1d2dc-4daa-44d9-a842-659c691eac35,62,118,A,2023-05-16 22:13:16.924116,
8ca1d2dc-4daa-44d9-a842-659c691eac35,139,72,B,2023-05-16 22:15:16.476005,
735b485e-f9ca-4749-aa61-aa2a98a00d18,85,112,N,2023-05-16 22:15:48.208569,
735b485e-f9ca-4749-aa61-aa2a98a00d18,19,49,A,2023-05-16 22:19:16.484798,
2a8b8b1b-a314-4c4d-9721-8b94797932fb,104,195,B,2023-05-16 22:19:58.496861,
2a8b8b1b-a314-4c4d-9721-8b94797932fb,120,65,A,2023-05-16 22:22:54.174935,
3b6c9df2-5083-4d49-9861-cbe74afe4619,186,33,A,2023-05-19 16:13:47.763180,
3b6c9df2-5083-4d49-9861-cbe74afe4619,42,11,A,2023-05-19 16:16:23.427555,
2f8867e8-63a9-49b2-b90f-3796db45201d,32,87,E,2023-05-19 16:20:08.524861,
a89045cd-3900-400f-85c2-74b49190c972,54,159,N,2023-05-19 16:29:30.226751,
a89045cd-3900-400f-85c2-74b49190c972,44,187,E,2023-05-19 16:32:34.807619,
d00dd8c2-ed02-4885-8bf5-2e178957cc72,100,146,E,2023-05-19 16:53:23.794036,
769a7824-b9fe-4936-b87b-cab185803a17,141,57,B,2023-05-19 17:12:23.128488,
769a7824-b9fe-4936-b87b-cab185803a17,99,21,A,2023-05-19 17:15:07.923296,
c4699748-0982-4c0d-97ec-287b108f8897,40,72,N,2023-05-19 20:33:45.917907,
c4699748-0982-4c0d-97ec-287b108f8897,194,116,A,2023-05-19 20:37:12.865068,
fd747ef3-188e-4a86-b65d-7d3da34e1566,114,86,A,2023-06-01 07:15:57.884200,
fd747ef3-188e-4a86-b65d-7d3da34e1566,61,17,B,2023-06-01 07:17:58.768621,
e2215704-e65c-4f6f-893c-abdf71a1fd5f,117,161,B,2023-06-13 23:33:45.530248,
e2215704-e65c-4f6f-893c-abdf71a1fd5f,132,129,B,2023-06-13 23:36:21.041587,
c25c6ad3-626d-4563-9a22-81b0f8b9e8d5,27,168,B,2023-06-29 04:47:08.729648,
c25c6ad3-626d-4563-9a22-81b0f8b9e8d5,62,142,A,2023-06-29 04:49:12.891696,
f5316da9-ca44-46c2-937a-c669e5689fad,73,109,N,2023-07-10 14:58:04.638893,
f5316da9-ca44-46c2-937a-c669e5689fad,66,179,B,2023-07-10 15:00:50.718069,
4a41095c-af10-4826-a020-f46e74ae8355,125,19,B,2023-07-10 15:46:34.852050,
4a41095c-af10-4826-a020-f46e74ae8355,177,198,E,2023-07-10 15:51:01.481113,
0efc394c-f40d-4a2c-b436-95edd8772331,174,192,A,2023-07-12 15:23:24.797283,
0efc394c-f40d-4a2c-b436-95edd8772331,63,102,A,2023-07-12 15:25:37.026031,
28421ba1-9bc5-43b1-a287-2a5bd3554433,37,167,B,2023-07-12 15:26:14.645997,
28421ba1-9bc5-43b1-a287-2a5bd3554433,33,18,B,2023-07-12 15:30:04.973306,
f51c61ef-825a-45c2-ac37-22a2c895cd41,126,142,B,2023-07-12 15:31:58.707564,
f51c61ef-825a-45c2-ac37-22a2c895cd41,102,167,E,2023-07-12 15:34:27.855171,
1f832b78-6dd1-4b19-b30b-51960d91b031,125,71,B,2023-07-12 16:17:12.175364,
1f832b78-6dd1-4b19-b30b-51960d91b031,130,95,A,2023-07-12 16:19:22.987769,
e357e3de-be46-4360-b98a-d4c599431be7,57,27,B,2023-07-12 16:41:05.597180,
e357e3de-be46-4360-b98a-d4c599431be7,167,64,B,2023-07-12 16:44:19.746474,
e357e3de-be46-4360-b98a-d4c599431be7,97,38,A,2023-07-12 21:41:30.401530,
9fa2d416-3c98-481e-9f25-608316e9aa27,128,54,A,2023-07-12 22:24:13.292397,
9fa2d416-3c98-481e-9f25-608316e9aa27,14,30,B,2023-07-12 22:27:12.206126,
56b8e4ac-4757-4679-ac36-030931987b90,145,114,A,2023-07-12 23:18:36.494519,
76027eb9-e5df-464c-84e0-88c816678977,132,13,B,2023-07-12 23:25:27.770227,
56b8e4ac-4757-4679-ac36-030931987b90,129,60,A,2023-07-12 23:27:27.992031,
76027eb9-e5df-464c-84e0-88c816678977,11,66,B,2023-07-12 23:27:51.863905,
f46dc364-473c-4af6-8661-01e445e6f3db,183,142,N,2023-07-13 00:05:06.264411,
9ecbe03d-97b6-48aa-b3ba-a21d09d0fd56,162,87,A,2023-07-13 00:05:20.292689,
60eb6bbd-e693-4b39-a26b-deefbdb778b7,19,139,A,2023-07-13 00:06:06.052579,
9ecbe03d-97b6-48aa-b3ba-a21d09d0fd56,4,34,B,2023-07-13 00:07:45.601138,
f46dc364-473c-4af6-8661-01e445e6f3db,89,120,A,2023-07-13 00:07:52.124480,
60eb6bbd-e693-4b39-a26b-deefbdb778b7,115,96,N,2023-07-13 00:08:01.094108,
cb577ff9-dd86-4191-9dff-51b04f83410a,61,98,B,2023-07-13 00:17:03.513165,
cb577ff9-dd86-4191-9dff-51b04f83410a,146,100,B,2023-07-13 00:22:08.294916,
d2e85f74-0303-4961-aee4-8ab04b416f98,169,18,N,2023-07-13 00:45:28.484626,
b11e2911-4d8f-48f0-bc28-8db6c9d0ffd5,177,103,E,2023-07-13 01:00:25.247244,
b11e2911-4d8f-48f0-bc28-8db6c9d0ffd5,129,193,A,2023-07-13 01:04:48.031570,
1dde97e4-3c95-4369-8793-baee2d3216f3,107,132,E,2023-07-13 01:06:43.527144,
1dde97e4-3c95-4369-8793-baee2d3216f3,98,88,N,2023-07-13 01:10:50.144911,
0f50778b-e4b6-4e32-b4f7-1e8d42bc103d,13,167,B,2023-07-13 07:45:17.273765,
0f50778b-e4b6-4e32-b4f7-1e8d42bc103d,94,138,A,2023-07-13 07:48:11.873367,
8e16acd5-31df-429f-a0b4-4e6f82157507,143,31,B,2023-07-13 09:02:20.273076,
8e16acd5-31df-429f-a0b4-4e6f82157507,29,93,N,2023-07-13 09:04:08.127114,
a26fa938-16d9-4751-9d7b-542fb44a0ee8,17,52,E,2023-07-13 09:45:34.550928,
a26fa938-16d9-4751-9d7b-542fb44a0ee8,28,63,A,2023-07-13 09:57:14.592998,
3a23e6d4-f5df-47bb-ab0d-fe9c07d56565,104,79,B,2023-07-13 10:23:18.173366,
3a23e6d4-f5df-47bb-ab0d-fe9c07d56565,54,45,A,2023-07-13 10:25:31.803674,
cfa734c5-6381-48bc-9a44-436292751245,138,129,A,2023-07-13 10:33:30.238084,
cfa734c5-6381-48bc-9a44-436292751245,127,70,B,2023-07-13 10:38:44.390065,
3e9a9746-8dd9-4860-9079-dee242ceb868,167,27,A,2023-07-13 10:51:41.111917,
3e9a9746-8dd9-4860-9079-dee242ceb868,111,140,B,2023-07-13 10:54:29.106757,
4b7b206e-74bc-4d4b-81ec-a2bebb32aaeb,195,4,A,2023-07-13 10:54:58.966194,
4b7b206e-74bc-4d4b-81ec-a2bebb32aaeb,94,190,B,2023-07-13 10:57:46.834499,
7fc6f124-dc9e-4a87-ab19-e851f9d9de67,134,105,N,2023-07-13 11:07:42.969012,
7fc6f124-dc9e-4a87-ab19-e851f9d9de67,39,31,B,2023-07-13 11:09:59.548910,
5dd03508-7b35-4f59-b365-2089bd8a3ae7,118,92,B,2023-07-13 11:12:41.737077,
105c0e47-62cc-417d-9ffc-4dd7da969125,138,159,E,2023-07-13 11:14:50.121847,
5dd03508-7b35-4f59-b365-2089bd8a3ae7,76,186,E,2023-07-13 11:15:17.089123,
105c0e47-62cc-417d-9ffc-4dd7da969125,60,150,B,2023-07-13 11:18:09.627805,
521d38d2-89b4-4fee-b5dd-d18f42a216e6,105,179,N,2023-07-13 11:18:23.038413,
521d38d2-89b4-4fee-b5dd-d18f42a216e6,159,122,N,2023-07-13 11:18:23.826987,
4b7b206e-74bc-4d4b-81ec-a2bebb32aaeb,143,112,E,2023-07-13 11:25:00.418937,
b3e007dd-ff6c-40af-9683-a347df06b134,89,168,B,2023-07-13 11:27:43.083486,
b3e007dd-ff6c-40af-9683-a347df06b134,100,157,N,2023-07-13 11:30:05.422324,
ab233937-5e24-4c8a-a294-cfe793cbed00,183,78,A,2023-07-13 11:44:37.868606,
ab233937-5e24-4c8a-a294-cfe793cbed00,168,146,A,2023-07-13 11:47:16.313347,
08836143-6ee3-439a-96fc-01d1ef8931b6,44,195,B,2023-07-13 12:10:27.353372,
08836143-6ee3-439a-96fc-01d1ef8931b6,112,69,B,2023-07-13 12:12:18.369544,
cf9eaa65-e5fe-45ce-ab87-c2a4fccfff0b,144,194,E,2023-07-13 12:47:43.964300,
1ad4daba-e8aa-483d-b19c-35350298d740,151,62,A,2023-07-13 13:13:32.218770,
1ad4daba-e8aa-483d-b19c-35350298d740,21,122,N,2023-07-13 13:16:19.173760,
a107d2f0-b4b0-4782-8416-1d1219f13fc5,142,83,B,2023-07-13 13:19:17.891307,
a107d2f0-b4b0-4782-8416-1d1219f13fc5,45,67,E,2023-07-13 13:21:35.523205,
9720c245-2bd9-44e0-825b-d54324f5b90a,37,9,E,2023-07-13 13:40:22.853328,
9720c245-2bd9-44e0-825b-d54324f5b90a,169,186,A,2023-07-13 13:43:20.987504,
e8fa1eee-54e3-49af-bd53-33de244a87be,33,114,A,2023-07-13 14:35:01.612762,
e8fa1eee-54e3-49af-bd53-33de244a87be,63,196,A,2023-07-13 14:37:58.106397,
6d710075-57ba-4545-bc65-e2a274f9f92b,178,168,N,2023-07-13 16:03:16.595602,
6d710075-57ba-4545-bc65-e2a274f9f92b,171,136,B,2023-07-13 16:05:12.771952,
a26fa938-16d9-4751-9d7b-542fb44a0ee8,118,125,E,2023-07-13 16:41:07.530882,
fe64a281-9563-4165-bf98-fbd8841472ba,181,136,N,2023-07-13 16:44:59.149516,
fe64a281-9563-4165-bf98-fbd8841472ba,27,29,N,2023-07-13 16:47:00.890907,
0c742b9d-e162-44c4-b3c9-13447fd0d608,55,115,N,2023-07-13 19:31:45.522591,
0c742b9d-e162-44c4-b3c9-13447fd0d608,79,151,B,2023-07-13 19:34:11.851019,
8b1fe243-3a4d-4c3d-ac18-b251cc558b05,169,146,A,2023-07-13 20:52:44.380144,
8b1fe243-3a4d-4c3d-ac18-b251cc558b05,115,70,B,2023-07-13 20:55:25.354278,
fa5a99b6-80d0-49ce-b93f-b2889b2935c2,147,155,N,2023-07-13 21:51:55.251840,
fa5a99b6-80d0-49ce-b93f-b2889b2935c2,114,52,N,2023-07-13 21:54:51.210203,
b27967e0-d66f-4297-8e27-c280edf5cbcb,130,42,B,2023-07-13 21:58:18.611981,
b27967e0-d66f-4297-8e27-c280edf5cbcb,58,165,A,2023-07-13 22:00:01.727170,
4b63ef53-bbd5-4746-bb02-e8a6183d5acf,15,129,E,2023-07-13 23:04:34.834309,
4b63ef53-bbd5-4746-bb02-e8a6183d5acf,142,74,E,2023-07-13 23:06:42.046381,
e552776d-f5fc-45a8-83ac-cf12fbe2a5c1,157,13,A,2023-07-14 11:22:58.251837,
e552776d-f5fc-45a8-83ac-cf12fbe2a5c1,32,137,B,2023-07-14 11:25:24.369399,
3b8d2496-d662-46f2-9849-c09fd9fa1646,151,183,N,2023-07-14 14:59:46.582466,
3b8d2496-d662-46f2-9849-c09fd9fa1646,25,50,B,2023-07-14 15:02:14.138292,
85be412a-dc18-4714-a556-d199f984209c,108,158,A,2023-07-14 20:09:57.335708,
85be412a-dc18-4714-a556-d199f984209c,124,1,A,2023-07-14 20:12:54.373279,
edceed34-0e98-45b2-9ec8-e0139398b646,62,50,B,2023-07-14 23:32:43.451710,
edceed34-0e98-45b2-9ec8-e0139398b646,195,143,B,2023-07-14 23:35:54.592012,
56f050c3-595e-40c7-a656-21076e66917f,145,176,B,2023-07-15 01:30:10.218155,
56f050c3-595e-40c7-a656-21076e66917f,40,28,B,2023-07-15 01:32:54.995940,
